date,volume,open,close,high,low,symbol
2007-10-02,28288192.0,156.55,158.45,158.59,155.89,AAPL
2007-10-03,24732737.0,157.78,157.9201,159.18,157.01,AAPL
2007-10-04,23462781.0,158.0,156.24,158.08,153.5,AAPL
2007-10-05,33695315.0,158.36,161.4499,161.58,157.7,AAPL
2007-10-08,29854511.0,163.16,167.91,167.91,162.97,AAPL
2007-10-09,39494476.0,170.2,167.86,171.11,166.68,AAPL
2007-10-10,23842437.0,167.55,166.79,167.88,165.6,AAPL
2007-10-11,58707199.0,169.49,162.23,171.88,153.21,AAPL
2007-10-12,35291917.0,163.01,167.2537,167.28,161.8,AAPL
2007-10-15,38497463.0,167.98,166.98,169.57,163.5,AAPL
2007-10-16,38136777.0,165.54,169.58,170.18,165.18,AAPL
2007-10-17,40271862.0,172.69,172.75,173.04,169.18,AAPL
2007-10-18,29438074.0,171.5,173.5,174.19,171.05,AAPL
2007-10-19,46126876.0,174.24,170.42,174.63,170.0,AAPL
2007-10-22,58910605.0,170.35,174.36,174.9,169.97,AAPL
2007-10-23,64099749.0,188.56,186.16,188.6,182.76,AAPL
2007-10-24,46017132.0,185.81,185.93,187.21,179.24,AAPL
2007-10-25,34771995.0,184.87,182.78,185.9,181.66,AAPL
2007-10-26,25225977.0,185.29,184.7,185.37,182.88,AAPL
2007-10-29,19215314.0,185.7,185.09,186.59,184.7,AAPL
2007-10-30,33550461.0,186.18,187.0,189.37,184.73,AAPL
2007-10-31,29761088.0,187.63,189.95,190.12,184.95,AAPL
2007-11-01,28750548.0,188.6,187.44,190.1,180.0,AAPL
2007-11-02,35789773.0,189.21,187.87,189.44,183.49,AAPL
2007-11-05,28720523.0,185.29,186.18,188.96,184.24,AAPL
2007-11-06,34097332.0,187.05,191.79,192.0,185.27,AAPL
2007-11-07,35511043.0,190.61,186.2999,192.68,186.13,AAPL
2007-11-08,67513466.0,186.67,175.4663,186.9,167.77,AAPL
2007-11-09,54508504.0,171.15,165.37,175.12,165.21,AAPL
2007-11-12,63180376.0,165.28,153.76,167.7,150.63,AAPL
2007-11-13,62123079.0,160.85,169.96,170.98,160.14,AAPL
2007-11-14,51755984.0,177.16,166.11,177.57,163.74,AAPL
2007-11-15,53121785.0,166.39,164.3,169.59,160.3,AAPL
2007-11-16,49367223.0,165.3,166.39,167.02,159.33,AAPL
2007-11-19,41229270.0,166.1,163.95,168.2,162.1,AAPL
2007-11-20,55130014.0,165.67,168.85,171.79,163.53,AAPL
2007-11-21,43520912.0,165.84,168.46,172.35,164.67,AAPL
2007-11-23,16634143.0,172.0,171.54,172.05,169.75,AAPL
2007-11-26,46634062.0,173.59,172.5419,177.2699,172.35,AAPL
2007-11-27,47036211.0,175.22,174.81,175.79,170.01,AAPL
2007-11-28,41103967.0,176.82,180.22,180.6,175.35,AAPL
2007-11-29,37476058.0,179.43,184.29,185.17,179.15,AAPL
2007-11-30,42386856.0,187.34,182.22,187.7,179.7,AAPL
2007-12-03,34338178.0,181.86,178.86,184.14,177.7,AAPL
2007-12-04,27635681.0,177.15,179.81,180.9,176.99,AAPL
2007-12-05,31871473.0,182.89,185.5,186.0,182.41,AAPL
2007-12-06,32133215.0,186.39,189.9528,190.0,186.12,AAPL
2007-12-07,38071899.0,190.54,194.3,194.99,188.04,AAPL
2007-12-10,25780030.0,193.48,194.21,195.66,192.69,AAPL
2007-12-11,39675669.0,194.75,188.5404,196.83,187.39,AAPL
2007-12-12,43773562.0,193.44,190.86,194.48,185.76,AAPL
2007-12-13,30925621.0,190.19,191.83,192.12,187.82,AAPL
2007-12-14,24092389.0,190.37,190.39,200.0,189.54,AAPL
2007-12-17,36596134.0,190.72,184.4,192.65,182.98,AAPL
2007-12-18,43663853.0,186.52,182.98,187.33,178.6,AAPL
2007-12-19,29552784.0,182.98,183.12,184.6394,180.9,AAPL
2007-12-20,27634803.0,185.43,187.21,187.83,183.33,AAPL
2007-12-21,35544882.0,190.12,193.91,193.9125,189.89,AAPL
2007-12-24,17150025.0,195.03,198.8,199.33,194.79,AAPL
2007-12-26,25133289.0,199.01,198.95,200.96,196.82,AAPL
2007-12-27,28411624.0,198.95,198.57,202.96,197.8,AAPL
2007-12-28,24987398.0,200.59,199.83,201.56,196.8801,AAPL
2007-12-31,19261842.0,199.5,198.08,200.5,197.75,AAPL
2008-01-02,38542020.0,199.27,194.84,200.26,192.55,AAPL
2008-01-03,30073780.0,195.41,194.93,197.39,192.69,AAPL
2008-01-04,51993904.0,191.45,180.05,193.0,178.89,AAPL
2008-01-07,73990720.0,181.25,177.64,183.6,170.23,AAPL
2008-01-08,54421984.0,180.14,171.25,182.46,170.8,AAPL
2008-01-09,64840673.0,171.3,179.4,179.5,168.3,AAPL
2008-01-10,52959516.0,177.58,178.02,181.0,175.41,AAPL
